example_id                                                                                        | status  | run_time              |
./spec/adapters/bagit/query_service_spec.rb[1:1:17:1:1:2:1]                                       | passed  | 0.05631 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:17:1:2:1]                                         | passed  | 0.03873 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:17:1:3:1]                                         | passed  | 0.03838 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:17:1:4:1]                                         | passed  | 0.04868 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:17:2:1:1]                                         | passed  | 0.12436 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:17:2:2:1]                                         | passed  | 0.0448 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:1:1]                                           | passed  | 0.062 seconds         |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:1:2]                                           | passed  | 0.04294 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:1:3]                                           | passed  | 0.04589 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:1:4]                                           | passed  | 0.05841 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:2:1]                                           | passed  | 0.0574 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:2:2]                                           | passed  | 0.05957 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:3:1:1]                                         | passed  | 0.0622 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:3:2:1]                                         | passed  | 0.05711 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:18:3:3:1]                                         | passed  | 0.04892 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:1:1:1]                                         | passed  | 0.09628 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:1:1:2]                                         | passed  | 0.07109 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:1:2:1]                                         | passed  | 0.10568 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:1:3:1]                                         | passed  | 0.10031 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:2:1]                                           | passed  | 0.0691 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:3:1]                                           | passed  | 0.06112 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:4:1]                                           | passed  | 0.03609 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:5:1:1]                                         | passed  | 0.05091 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:19:5:2:1]                                         | passed  | 0.05498 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:20:1]                                             | passed  | 0.05611 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:20:2]                                             | passed  | 0.05117 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:20:3]                                             | passed  | 0.06939 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:20:4:1]                                           | passed  | 0.04966 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:21:1]                                             | passed  | 0.03605 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:22:1]                                             | passed  | 0.04238 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:23:1]                                             | passed  | 0.03921 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:24:1]                                             | passed  | 0.05628 seconds       |
./spec/adapters/bagit/storage_adapter_spec.rb[1:1:1]                                              | passed  | 0.02714 seconds       |
./spec/adapters/bagit/storage_adapter_spec.rb[1:1:2]                                              | passed  | 0.02934 seconds       |
./spec/adapters/bagit/storage_adapter_spec.rb[1:1:3]                                              | passed  | 0.02519 seconds       |
./spec/adapters/bagit/storage_adapter_spec.rb[1:1:4]                                              | passed  | 0.02474 seconds       |
./spec/adapters/bagit/storage_adapter_spec.rb[1:1:5]                                              | passed  | 0.03796 seconds       |
./spec/adapters/bagit/storage_adapter_spec.rb[1:1:6]                                              | failed  | 15.04 seconds         |
./spec/adapters/bagit/storage_adapter_spec.rb[1:1:7]                                              | passed  | 0.03808 seconds       |
./spec/adapters/bagit/storage_adapter_spec.rb[1:2]                                                | passed  | 0.03316 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:1:1]                                                   | passed  | 0.02179 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:1:2]                                                   | passed  | 0.02253 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:1:3]                                                   | passed  | 0.0222 seconds        |
./spec/adapters/indexing_adapter_spec.rb[1:1:4]                                                   | passed  | 0.02264 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:1:5:1]                                                 | passed  | 0.02212 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:1]                                                 | passed  | 0.03107 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:2]                                                 | passed  | 0.03022 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:3]                                                 | passed  | 0.031 seconds         |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:4]                                                 | passed  | 0.08235 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:5]                                                 | passed  | 0.13173 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:6]                                                 | passed  | 0.08746 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:7:1]                                               | passed  | 0.0991 seconds        |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:7:2]                                               | passed  | 0.08205 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:8]                                                 | passed  | 0.13588 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:9]                                                 | passed  | 0.07992 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:10]                                                | passed  | 0.08778 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:11]                                                | passed  | 0.09986 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:12]                                                | passed  | 0.13392 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:13]                                                | passed  | 0.08952 seconds       |
./spec/adapters/indexing_adapter_spec.rb[1:2:1:14]                                                | passed  | 0.09713 seconds       |
